GPU_Utilization (%),Power_Consumption (kW),Machine_Temperature (°C),Ambient_Temperature (°C),Humidity (%),Season,Active_Servers,Cooling_Method,Water_Consumption (L/hr)
77,100,75,35,78,Monsoon,57,Evaporative,600
76,107,76,34,41,Summer,61,Liquid,600
81,100,77,35,41,Summer,59,Evaporative,600
35,100,56,26,58,Winter,26,Air,496
96,135,87,38,37,Summer,83,Evaporative,600
60,100,59,25,56,Spring,31,Air,600
79,100,78,36,76,Monsoon,57,Evaporative,600
65,100,71,29,48,Spring,49,Liquid,600
96,132,89,41,30,Summer,88,Evaporative,600
73,112,81,38,41,Summer,64,Evaporative,600
76,113,80,35,38,Summer,57,Liquid,600
83,100,81,35,43,Summer,66,Evaporative,600
55,100,68,32,78,Monsoon,40,Liquid,600
80,103,78,35,87,Monsoon,55,Evaporative,600
90,132,86,41,34,Summer,87,Evaporative,600
56,100,70,33,75,Monsoon,43,Liquid,600
54,100,54,23,58,Autumn,29,Air,532
76,101,74,35,45,Summer,52,Liquid,600
46,100,60,29,56,Spring,32,Air,600
65,100,65,31,76,Monsoon,43,Liquid,600
81,120,85,39,38,Summer,73,Evaporative,600
63,100,68,31,53,Spring,48,Liquid,600
34,100,56,22,51,Winter,23,Air,477
54,100,58,26,53,Spring,35,Air,600
66,100,66,28,70,Monsoon,39,Liquid,600
41,100,47,22,58,Winter,20,Air,385
86,106,83,41,41,Summer,77,Evaporative,600
48,100,64,29,65,Monsoon,37,Air,600
57,100,66,28,46,Spring,37,Liquid,600
76,100,77,35,87,Monsoon,60,Evaporative,600
47,100,53,25,59,Winter,23,Air,479
53,100,57,27,50,Autumn,24,Air,505
35,100,52,24,58,Winter,21,Air,409
90,105,83,36,43,Summer,74,Evaporative,600
57,100,58,26,48,Spring,31,Air,600
33,100,48,25,55,Winter,23,Air,408
71,100,70,33,81,Monsoon,53,Liquid,600
66,100,72,33,78,Monsoon,49,Liquid,600
72,100,78,37,38,Summer,59,Evaporative,600
88,100,82,38,36,Summer,70,Evaporative,600
83,100,78,34,41,Summer,60,Evaporative,600
78,100,72,33,80,Monsoon,50,Liquid,600
82,100,73,33,41,Summer,57,Liquid,600
93,100,83,38,36,Summer,71,Evaporative,600
32,100,48,21,60,Winter,23,Air,401
90,107,86,40,35,Summer,88,Evaporative,600
64,100,65,28,54,Autumn,44,Liquid,600
73,100,74,35,76,Monsoon,56,Evaporative,600
87,114,86,38,31,Summer,83,Evaporative,600
78,100,75,32,47,Summer,55,Liquid,600
33,100,50,22,55,Winter,15,Air,394
57,100,65,27,49,Spring,38,Liquid,600
72,100,78,33,75,Monsoon,58,Evaporative,600
49,100,52,23,57,Winter,22,Air,479
99,128,86,37,37,Summer,78,Evaporative,600
43,100,54,24,54,Autumn,31,Air,557
100,131,88,39,33,Summer,80,Evaporative,600
86,100,79,38,38,Summer,70,Evaporative,600
68,100,67,31,71,Monsoon,45,Liquid,600
83,119,84,38,39,Summer,73,Evaporative,600
60,100,65,30,47,Autumn,41,Liquid,600
83,100,78,35,39,Summer,63,Evaporative,600
63,100,60,30,70,Monsoon,38,Air,600
54,100,66,27,49,Autumn,43,Liquid,600
51,100,65,30,45,Spring,36,Liquid,600
65,100,67,30,48,Spring,47,Liquid,600
62,100,68,33,52,Summer,45,Liquid,600
46,100,58,24,49,Autumn,29,Air,569
68,100,67,30,77,Monsoon,43,Liquid,600
54,100,64,30,77,Monsoon,36,Air,600
54,100,60,28,56,Spring,27,Air,600
91,105,81,38,44,Summer,73,Evaporative,600
89,119,84,37,38,Summer,82,Evaporative,600
64,100,71,29,44,Autumn,49,Liquid,600
85,100,81,38,39,Summer,74,Evaporative,600
58,100,60,29,74,Monsoon,32,Air,600
67,100,71,33,46,Summer,54,Liquid,600
70,100,70,32,53,Spring,49,Liquid,600
75,100,75,32,83,Monsoon,58,Evaporative,600
56,100,65,29,51,Autumn,42,Liquid,600
57,100,67,28,80,Monsoon,43,Liquid,600
38,100,48,20,54,Winter,21,Air,374
32,100,48,23,59,Winter,17,Air,365
63,100,67,30,50,Autumn,42,Liquid,600
65,100,69,31,75,Monsoon,44,Liquid,600
72,100,74,32,84,Monsoon,54,Evaporative,600
100,114,86,38,31,Summer,84,Evaporative,600
52,100,60,28,58,Spring,32,Air,600
72,100,69,29,52,Summer,44,Liquid,600
71,100,66,32,47,Summer,47,Liquid,600
54,100,64,28,47,Autumn,42,Liquid,600
43,100,58,28,59,Autumn,27,Air,559
95,112,85,41,41,Summer,80,Evaporative,600
90,100,81,37,45,Summer,66,Evaporative,600
60,100,67,27,50,Autumn,43,Liquid,600
54,100,54,25,49,Autumn,26,Air,505
67,100,70,32,51,Autumn,50,Liquid,600
57,100,67,31,78,Monsoon,39,Liquid,600
81,100,74,34,74,Monsoon,54,Evaporative,600
92,113,84,41,34,Summer,78,Evaporative,600
53,100,63,29,72,Monsoon,34,Air,600
53,100,62,30,75,Monsoon,39,Air,600
65,100,73,34,44,Summer,54,Liquid,600
42,100,50,23,54,Winter,16,Air,397
53,100,64,30,55,Autumn,37,Liquid,600
85,100,78,37,46,Summer,61,Evaporative,600
42,100,57,26,54,Spring,33,Air,600
96,118,87,41,39,Summer,80,Evaporative,600
64,100,72,33,76,Monsoon,52,Liquid,600
74,104,75,35,77,Monsoon,58,Evaporative,600
65,100,65,29,74,Monsoon,42,Liquid,600
87,116,85,39,43,Summer,72,Evaporative,600
74,100,70,33,81,Monsoon,53,Liquid,600
65,100,65,30,77,Monsoon,35,Air,600
73,100,78,32,87,Monsoon,56,Evaporative,600
53,100,57,26,55,Autumn,30,Air,547
61,100,63,30,45,Spring,40,Liquid,600
57,100,66,27,54,Autumn,44,Liquid,600
42,100,54,27,48,Autumn,28,Air,520
69,100,67,29,47,Autumn,44,Liquid,600
59,100,69,32,52,Summer,45,Liquid,600
46,100,55,24,58,Autumn,30,Air,566
84,100,78,37,40,Summer,58,Evaporative,600
84,100,75,34,82,Monsoon,56,Evaporative,600
75,100,71,33,82,Monsoon,47,Liquid,600
54,100,68,27,54,Autumn,41,Liquid,600
38,100,53,23,59,Winter,26,Air,470
64,100,73,31,84,Monsoon,48,Liquid,600
85,100,78,32,83,Monsoon,57,Evaporative,600
86,100,79,37,41,Summer,66,Evaporative,600
61,100,64,30,55,Spring,40,Liquid,600
100,129,88,42,38,Summer,85,Evaporative,600
68,100,65,30,51,Autumn,41,Liquid,600
65,100,72,34,83,Monsoon,53,Liquid,600
43,100,55,23,56,Autumn,26,Air,506
32,100,48,24,57,Winter,19,Air,368
60,100,64,29,70,Monsoon,37,Air,600
92,111,81,39,37,Summer,69,Evaporative,600
93,100,82,38,41,Summer,71,Evaporative,600
29,100,50,23,59,Winter,15,Air,361
34,100,53,26,51,Winter,23,Air,469
72,100,69,28,52,Spring,43,Liquid,600
73,100,77,31,83,Monsoon,55,Evaporative,600
57,100,65,28,79,Monsoon,42,Liquid,600
45,100,56,26,53,Autumn,28,Air,572
82,100,80,35,40,Summer,63,Evaporative,600
46,100,58,25,56,Autumn,25,Air,563
60,100,67,30,50,Autumn,44,Liquid,600
73,100,73,34,49,Summer,56,Liquid,600
61,100,67,29,70,Monsoon,43,Liquid,600
61,100,65,29,77,Monsoon,44,Liquid,600
68,100,70,33,77,Monsoon,45,Liquid,600
68,100,68,29,53,Summer,46,Liquid,600
93,109,82,35,36,Summer,68,Evaporative,600
27,100,48,24,56,Winter,15,Air,371
98,113,88,42,39,Summer,88,Evaporative,600
100,106,87,39,33,Summer,82,Evaporative,600
80,106,77,37,39,Summer,59,Liquid,600
49,100,62,28,51,Spring,32,Air,600
46,100,57,23,58,Autumn,26,Air,521
42,100,49,21,61,Winter,17,Air,435
82,117,86,40,38,Summer,74,Evaporative,600
43,100,48,21,64,Winter,22,Air,439
52,100,59,29,51,Spring,30,Air,600
75,100,78,34,46,Summer,64,Evaporative,600
68,100,67,33,72,Monsoon,46,Liquid,600
74,100,81,35,39,Summer,60,Evaporative,600
87,102,81,35,44,Summer,60,Evaporative,600
66,100,68,32,78,Monsoon,39,Liquid,600
61,100,71,29,46,Autumn,45,Liquid,600
80,100,75,31,44,Summer,58,Liquid,600
62,100,72,31,45,Autumn,49,Liquid,600
50,100,55,27,52,Autumn,23,Air,529
34,100,50,24,63,Winter,21,Air,440
76,110,78,33,78,Monsoon,56,Evaporative,600
55,100,62,27,59,Spring,35,Air,600
55,100,62,27,75,Monsoon,32,Air,600
29,100,47,21,57,Winter,19,Air,366
75,100,71,32,46,Summer,50,Liquid,600
75,102,72,32,47,Summer,50,Liquid,600
65,100,68,32,49,Spring,43,Liquid,600
71,100,70,30,48,Summer,42,Liquid,600
86,100,81,34,46,Summer,60,Evaporative,600
27,100,47,21,62,Winter,21,Air,396
84,100,79,35,40,Summer,63,Evaporative,600
70,100,67,29,77,Monsoon,42,Liquid,600
78,100,73,35,45,Summer,55,Liquid,600
60,100,72,29,44,Autumn,46,Liquid,600
67,100,66,27,47,Autumn,39,Liquid,600
81,100,76,34,49,Summer,57,Liquid,600
77,100,80,37,44,Summer,67,Evaporative,600
68,100,65,26,52,Autumn,40,Liquid,600
72,100,68,32,50,Summer,48,Liquid,600
53,100,65,31,48,Spring,40,Liquid,600
59,100,62,30,48,Spring,39,Liquid,600
63,100,66,31,49,Autumn,41,Liquid,600
66,100,72,32,83,Monsoon,50,Liquid,600
82,100,79,35,42,Summer,62,Evaporative,600
81,104,76,36,83,Monsoon,59,Evaporative,600
60,100,59,25,51,Spring,35,Air,600
33,100,51,23,55,Winter,17,Air,436
87,100,80,34,45,Summer,58,Evaporative,600
56,100,62,28,52,Spring,31,Air,600
50,100,62,26,57,Spring,33,Air,600
81,100,74,32,41,Summer,58,Liquid,600
66,100,72,35,43,Summer,51,Liquid,600
56,100,61,26,68,Monsoon,37,Air,600
86,100,79,34,44,Summer,60,Evaporative,600
60,100,62,27,68,Monsoon,40,Air,600
63,100,67,30,51,Spring,46,Liquid,600
53,100,64,29,52,Spring,37,Liquid,600
85,100,81,37,45,Summer,68,Evaporative,600
49,100,61,30,72,Monsoon,35,Air,600
57,100,57,25,52,Spring,28,Air,600
77,100,73,34,80,Monsoon,50,Liquid,600
82,100,77,35,83,Monsoon,55,Evaporative,600
61,100,63,31,71,Monsoon,35,Air,600
66,100,64,27,50,Spring,38,Liquid,600
58,100,62,31,48,Spring,41,Liquid,600
64,100,65,27,48,Autumn,43,Liquid,600
63,100,62,30,66,Monsoon,38,Air,600
90,103,83,37,35,Summer,75,Evaporative,600
64,100,70,29,45,Spring,49,Liquid,600
74,100,75,33,78,Monsoon,57,Evaporative,600
48,100,58,27,51,Spring,30,Air,600
99,128,88,41,34,Summer,80,Evaporative,600
64,100,67,27,49,Autumn,42,Liquid,600
70,100,67,31,48,Summer,45,Liquid,600
84,100,79,35,45,Summer,68,Evaporative,600
81,100,79,38,40,Summer,61,Evaporative,600
86,117,85,37,33,Summer,77,Evaporative,600
56,100,66,31,55,Autumn,37,Liquid,600
65,100,63,31,69,Monsoon,39,Air,600
59,100,64,29,46,Spring,40,Liquid,600
32,100,50,23,57,Winter,19,Air,437
32,100,49,23,60,Winter,18,Air,376
34,100,46,23,58,Winter,21,Air,395
49,100,55,27,53,Autumn,27,Air,558
46,100,56,25,52,Autumn,29,Air,539
43,100,54,28,59,Autumn,31,Air,558
87,100,81,35,46,Summer,62,Evaporative,600
69,100,73,32,44,Summer,53,Liquid,600
96,109,82,39,42,Summer,70,Evaporative,600
61,100,61,31,71,Monsoon,38,Air,600
63,100,61,29,67,Monsoon,38,Air,600
47,100,60,28,48,Spring,31,Air,600
58,100,60,26,70,Monsoon,35,Air,600
74,100,71,34,47,Summer,55,Liquid,600
60,100,61,28,73,Monsoon,35,Air,600
72,103,74,36,42,Summer,50,Liquid,600
79,100,71,33,50,Summer,55,Liquid,600
65,100,71,34,75,Monsoon,50,Liquid,600
85,112,80,38,45,Summer,60,Liquid,600
54,100,66,30,76,Monsoon,42,Liquid,600
58,100,64,31,72,Monsoon,39,Air,600
47,100,57,26,50,Autumn,24,Air,538
57,100,59,25,51,Spring,34,Air,600
74,105,80,35,40,Summer,58,Liquid,600
98,129,84,40,36,Summer,78,Evaporative,600
51,100,61,29,72,Monsoon,36,Air,600
76,100,75,35,78,Monsoon,54,Evaporative,600
63,100,63,28,48,Autumn,41,Liquid,600
69,100,69,32,74,Monsoon,47,Liquid,600
61,100,69,33,74,Monsoon,47,Liquid,600
53,100,55,25,54,Autumn,29,Air,550
73,101,72,30,77,Monsoon,50,Liquid,600
73,100,79,32,77,Monsoon,58,Evaporative,600
58,100,60,25,52,Spring,30,Air,600
98,127,82,38,43,Summer,72,Evaporative,600
71,100,74,33,75,Monsoon,49,Liquid,600
77,100,78,35,78,Monsoon,56,Evaporative,600
48,100,58,28,52,Autumn,28,Air,566
84,100,75,31,78,Monsoon,60,Evaporative,600
68,100,69,32,71,Monsoon,44,Liquid,600
69,100,68,30,71,Monsoon,43,Liquid,600
77,111,79,38,45,Summer,71,Evaporative,600
89,103,81,34,37,Summer,61,Evaporative,600
67,100,69,29,44,Autumn,45,Liquid,600
70,100,72,30,44,Autumn,46,Liquid,600
88,102,78,38,47,Summer,60,Liquid,600
74,100,68,33,48,Autumn,48,Liquid,600
42,100,60,29,56,Spring,28,Air,600
86,118,82,37,40,Summer,77,Evaporative,600
50,100,56,27,55,Autumn,24,Air,532
88,103,78,35,46,Summer,61,Liquid,600
96,110,82,41,34,Summer,74,Evaporative,600
90,104,84,41,34,Summer,74,Evaporative,600
73,100,77,35,86,Monsoon,59,Evaporative,600
74,100,71,29,54,Spring,48,Liquid,600
60,100,64,26,54,Autumn,41,Liquid,600
70,100,76,36,77,Monsoon,60,Evaporative,600
62,100,68,30,71,Monsoon,45,Liquid,600
45,100,48,21,57,Winter,21,Air,414
67,100,74,34,39,Summer,55,Liquid,600
61,100,71,31,52,Spring,43,Liquid,600
81,100,81,37,46,Summer,61,Evaporative,600
42,100,55,25,58,Winter,25,Air,481
85,105,87,37,39,Summer,82,Evaporative,600
42,100,61,28,52,Spring,31,Air,600
82,112,84,40,37,Summer,77,Evaporative,600
65,100,64,28,75,Monsoon,39,Air,600
68,100,70,31,50,Summer,46,Liquid,600
72,100,71,31,51,Autumn,49,Liquid,600
36,100,53,22,57,Winter,25,Air,474
54,100,53,26,49,Autumn,23,Air,540
36,100,52,22,58,Winter,17,Air,428
75,102,77,38,39,Summer,62,Liquid,600
44,100,56,26,57,Winter,28,Air,476
42,100,57,24,53,Autumn,26,Air,555
73,100,66,30,43,Summer,46,Liquid,600
58,100,60,29,48,Spring,28,Air,600
82,107,86,37,33,Summer,77,Evaporative,600
68,100,67,28,49,Autumn,40,Liquid,600
64,100,74,31,80,Monsoon,52,Liquid,600
40,100,58,26,53,Autumn,27,Air,546
68,100,77,36,83,Monsoon,60,Evaporative,600
78,100,73,36,47,Summer,54,Liquid,600
73,100,73,34,76,Monsoon,53,Liquid,600
72,100,70,32,75,Monsoon,51,Liquid,600
78,100,77,31,47,Summer,57,Liquid,600
68,100,67,29,47,Summer,47,Liquid,600
52,100,65,28,45,Autumn,40,Liquid,600
52,100,59,26,51,Spring,27,Air,600
50,100,63,31,46,Spring,41,Liquid,600
79,107,79,39,35,Summer,66,Evaporative,600
57,100,69,30,72,Monsoon,40,Liquid,600
57,100,70,29,43,Summer,42,Liquid,600
75,100,78,36,76,Monsoon,59,Evaporative,600
68,100,73,34,76,Monsoon,50,Liquid,600
66,100,67,31,81,Monsoon,47,Liquid,600
84,100,75,31,85,Monsoon,59,Evaporative,600
77,102,79,37,47,Summer,61,Liquid,600
91,100,80,39,37,Summer,71,Evaporative,600
42,100,53,26,50,Autumn,23,Air,525
55,100,58,25,49,Autumn,27,Air,546
49,100,62,27,69,Monsoon,35,Air,600
91,113,88,38,36,Summer,81,Evaporative,600
88,101,79,36,39,Summer,65,Evaporative,600
47,100,57,23,53,Autumn,24,Air,516
91,100,81,39,38,Summer,70,Evaporative,600
73,100,73,35,46,Summer,55,Liquid,600
50,100,54,23,59,Winter,26,Air,484
47,100,48,22,64,Winter,21,Air,414
75,100,73,35,46,Summer,51,Liquid,600
70,100,70,33,43,Autumn,46,Liquid,600
43,100,58,28,50,Spring,28,Air,600
76,100,79,37,43,Summer,63,Evaporative,600
94,121,85,37,39,Summer,73,Evaporative,600
87,100,83,35,43,Summer,66,Evaporative,600
74,100,72,30,83,Monsoon,49,Liquid,600
53,100,65,29,71,Monsoon,40,Air,600
80,100,78,34,84,Monsoon,56,Evaporative,600
67,100,67,29,79,Monsoon,47,Liquid,600
61,100,68,30,48,Spring,46,Liquid,600
60,100,68,31,73,Monsoon,41,Liquid,600
74,100,79,34,43,Summer,58,Liquid,600
58,100,61,28,74,Monsoon,35,Air,600
57,100,64,29,55,Autumn,39,Liquid,600
72,110,80,37,40,Summer,59,Liquid,600
68,100,69,30,51,Spring,48,Liquid,600
79,100,73,33,48,Summer,58,Liquid,600
49,100,60,30,68,Monsoon,37,Air,600
54,100,64,28,48,Autumn,44,Liquid,600
64,100,66,31,71,Monsoon,43,Liquid,600
98,123,87,38,34,Summer,82,Evaporative,600
60,100,69,32,44,Autumn,45,Liquid,600
86,109,86,38,39,Summer,74,Evaporative,600
72,100,73,33,47,Summer,53,Liquid,600
68,100,76,33,76,Monsoon,54,Evaporative,600
100,132,85,41,32,Summer,77,Evaporative,600
80,103,75,33,43,Summer,49,Liquid,600
61,100,62,27,67,Monsoon,35,Air,600
64,100,67,30,46,Autumn,41,Liquid,600
57,100,67,30,54,Autumn,44,Liquid,600
45,100,53,26,52,Winter,25,Air,480
54,100,66,28,48,Autumn,40,Liquid,600
89,114,88,40,38,Summer,80,Evaporative,600
64,100,71,35,49,Summer,51,Liquid,600
65,100,67,32,80,Monsoon,43,Liquid,600
67,100,72,34,79,Monsoon,52,Liquid,600
32,100,48,22,62,Winter,20,Air,389
34,100,52,22,59,Winter,22,Air,428
67,100,73,35,46,Summer,58,Liquid,600
47,100,55,24,52,Winter,25,Air,466
62,100,63,30,48,Autumn,37,Liquid,600
63,100,63,27,70,Monsoon,37,Air,600
44,100,48,25,63,Winter,23,Air,414
42,100,54,28,49,Autumn,27,Air,570
49,100,57,26,55,Spring,29,Air,600
92,113,87,42,31,Summer,83,Evaporative,600
80,102,72,36,45,Summer,51,Liquid,600
82,100,79,37,44,Summer,68,Evaporative,600
61,100,65,30,45,Autumn,39,Liquid,600
52,100,62,31,69,Monsoon,39,Air,600
59,100,65,30,69,Monsoon,39,Air,600
50,100,57,25,57,Autumn,31,Air,568
74,100,78,37,40,Summer,60,Evaporative,600
87,106,88,38,31,Summer,82,Evaporative,600
67,100,63,28,47,Autumn,42,Liquid,600
97,119,84,40,34,Summer,73,Evaporative,600
73,100,71,36,47,Summer,51,Liquid,600
57,100,62,29,56,Spring,34,Air,600
62,100,70,29,52,Spring,45,Liquid,600
91,124,85,40,34,Summer,81,Evaporative,600
62,100,72,31,47,Autumn,49,Liquid,600
85,114,82,41,38,Summer,78,Evaporative,600
60,100,62,29,46,Spring,35,Liquid,600
67,100,66,33,46,Summer,42,Liquid,600
87,100,77,38,42,Summer,58,Liquid,600
